N	nrep	nsweeps	time_ms	ms_per_sweep	sweeps_per_sec	spin_updates_per_ns	mem_MB	acceptance_rate	total_throughput
18	1	500	246.5894	0.493179	2027.66	0.000310	0.05	0.430556	2027.66
18	2	500	246.5637	0.493127	2027.87	0.000621	0.05	0.396204	4055.75
18	4	500	246.9775	0.493955	2024.48	0.001239	0.05	0.409861	8097.90
18	8	500	247.0646	0.494129	2023.76	0.002477	0.05	0.392569	16190.10
18	16	500	247.0614	0.494123	2023.79	0.004954	0.06	0.382153	32380.62
18	32	500	247.1291	0.494258	2023.23	0.009906	0.06	0.405139	64743.49
18	64	500	245.1956	0.490391	2039.19	0.019968	0.08	0.404253	130508.03
