N	nrep	nsweeps	time_ms	ms_per_sweep	sweeps_per_sec	spin_updates_per_ns	mem_MB	acceptance_rate	total_throughput
32	1	500	2865.2002	5.730401	174.51	0.000087	0.56	0.409896	174.51
32	2	500	2865.2922	5.730585	174.50	0.000173	0.57	0.415938	349.00
32	4	500	2867.4702	5.734941	174.37	0.000346	0.57	0.419193	697.48
32	8	500	2867.3384	5.734677	174.38	0.000692	0.57	0.422409	1395.02
32	16	500	2867.2942	5.734588	174.38	0.001384	0.57	0.420508	2790.09
32	32	500	2867.0720	5.734144	174.39	0.002768	0.58	0.420911	5580.61
32	64	500	2861.8159	5.723632	174.71	0.005546	0.60	0.420785	11181.71
